name,rating,year,country,state_or_province
Abita Jockamo IPA,3,2013,United States,Louisiana
Abita Pecan Harvest,3,2013,United States,Louisiana
Abita Purple Haze,4,2013,United States,Louisiana
Abita Turbodog,4,2013,United States,Louisiana
AleSmith Speedway Stout,5,2013,United States,California
Alhambra Ale,2,2012,Spain,-
Allagash White,5,2013,United States,Maine
Anchor Steam,4,2012,United States,California
Anchor Steam Holiday 2012 (Anchor Christmas Ale),5,2012,United States,California
Anderson Valley Fall Hornin Pumpkin Ale,4,2012,United States,California
Augustiner Brau Edelstoff,3,2013,Germany,
Ballantines XXX Ale,4,2012,United States,California
Ballast Point Big Eye IPA,5,2013,United States,California
Ballast Point Calico Copper Amber Ale,5,2013,United States,California
Ballast Point Sculpin IPA,5,2013,United States,California
Baltika,1,2013,Russia,-
Banks,2,2013,Barbados,-
Bass Ale,4,2009,United Kingdom,England
Bear Republic Racer 5,5,2013,United States,California
Bear Republic Racer 15 (Caf_ 15),5,2013,United States,California
Bear Republic Red Rocket Ale,5,2012,United States,California
Becks,3,2012,Germany ,-
Becks Oktoberfest,3,2012,Germany ,-
Biera Corsa Pietra,3,2012,France,-
Blue Moon,4,2009,United States,Colorado
Blue Moon Agave Blonde Ale,4,2013,United States,Colorado
Blue Moon Belgian Pale Ale,3,2012,United States,Colorado
Blue Moon Gingerbread Spiced Ale,4,2013,United States,Colorado
Blue Moon Harvest Moon,4,2013,United States,Colorado
Blue Moon Spring Blonde Wheat Ale,4,2012,United States,Colorado
Blue Moon Summer Honey Wheat Ale,4,2013,United States,Colorado
Blue Moon Valencia Grove Amber,3,2013,United States,Colorado
Blue Moon Winter Abbey Ale,4,2013,United States,Colorado
Bluepoint Pumpkin Ale,4,2013,United States,New York
Bluepoint Toasted Lager,4,2013,United States,New York
Bohemia,2,2013,Mexico,Monterrey
Breckenridge Agave Wheat,2,2013,United States,Colorado
Breckenridge Brewery Avalanch Style Amber Ale,3,2013,United States,Colorado
Breckenridge Christmas Ale,3,2013,Untied States,Colorado
Brooklyn Black Chocolate Stout,5,2012,United States,New York
Brooklyn Lager,4,2012,United States,New York
Brooklyn Pennant '55 (Brooklyn Ale),4,2011,United States,New York
Brouwerij Duvel Moortgat NV Duvel,5,2013,Belgium,
Brouwerij Lindemans Peche,5,2013,Belgium,
Buckler (Non-alcoholic),1,2012,Netherlands,-
Bud Light,2,2008,United States,Missouri
Bud Light Lime,3,2009,United States,Missouri
Bud Light Platinum,2,2012,United States,Missouri
Bud Select,1,2012,United States,Missouri
Budweiser,4,2008,United States,Missouri
Budweiser American Ale,4,2012,United States,Missouri
Buffalo Bill's Pumpkin Ale,3,2013,United States,California
Busch,1,2008,United States,Missouri
Busch Light,1,2008,United States,Missouri
Carib Lager,3,2012,Trinidad & Tobago,-
Carlsberg,3,2009,Denmark,-
Carlsburg Elephant,2,2012,Denmark,-
Casa Beer,2,2012,Morocco,-
Chimay Grand Reserve Ale Blue,5,2013,Belgium,Baileaux
Chimay Grand Reserve 2012 Blue,5,2013,Belgium,Baileaux
Chimay Premiere Red,5,2013,Belgium,Baileaux
Cigar City Jai Alai IPA,5,2013,United States,Florida
Cisco Brewers Pumple Drumkin,5,2013,United States,Massachusetts
Cisco Brewers Whale's Tale Pale Ale,4,2013,United States,Massachusetts
Colt 45,1,2010,United States,California
Coors Light,3,2008,United States,Colorado
Coors Original,3,2012,United States,Colorado
Corona Extra,4,2010,Mexico,-
Corona Light,4,2010,Mexico,-
Coronado Idiot IPA,5,2013,United States,California
Coronado Islander IPA,5,2013,United States,California
Coronado Mermaid's Red Ale,5,2013,United States,California
Coronado Orange Avenue Wit,4,2013,United States,California
Cristal,1,2013,Peru,-
Dale's Pale Ale,4,2012,United States,Colorado
Dick's Danger Ale,3,2012,United States,Washington
Dockyard Brewing Company Black Anchor Porter,4,2013,Bermuda,Ireland Island
Dockyard Brewing Company Somer's Amber Ale,3,2013,Bermuda,Ireland Island
Dockyard Brewing Company  St. David's Light,3,2013,Bermuda,Ireland Island
